,from,to,date_x,date_y,new_id_x,new_id_y
66,108082,1017,2001-08-08,2000-01-03,4494,11
67,202146,1017,2002-02-15,2000-01-03,5840,11
68,1033,1018,2000-01-05,2000-01-03,26,12
69,2130,1018,2000-02-11,2000-01-03,329,12
70,2132,1018,2000-02-11,2000-01-03,331,12
71,4114,1018,2000-04-12,2000-01-03,815,12
72,1166,1018,2000-01-17,2000-01-03,141,12
73,1211,1018,2000-01-20,2000-01-03,182,12
74,4144,1018,2000-04-15,2000-01-03,840,12
75,5230,1018,2000-05-23,2000-01-03,1088,12
76,106240,1018,2001-06-21,2000-01-03,4130,12
77,106255,1018,2001-06-22,2000-01-03,4144,12
78,6121,1019,2000-06-12,2000-01-03,1243,13
79,12241,1019,2000-12-19,2000-01-03,2736,13
80,9046,1019,2000-09-05,2000-01-03,1823,13
81,107005,1019,2001-07-02,2000-01-03,4179,13
82,107024,1019,2001-07-03,2000-01-03,4196,13
83,108053,1019,2001-08-06,2000-01-03,4469,13
84,203030,111002,2002-03-04,2000-01-03,5928,14
85,112104,111002,2001-12-06,2000-01-03,5344,14
86,112193,111002,2001-12-14,2000-01-03,5419,14
87,112222,111002,2001-12-17,2000-01-03,5441,14
88,201089,111002,2002-01-11,2000-01-03,5548,14
89,201173,111002,2002-01-18,2000-01-03,5619,14
90,201175,111002,2002-01-18,2000-01-03,5621,14
91,4180,1021,2000-04-18,2000-01-04,870,15
92,6186,1021,2000-06-16,2000-01-04,1293,15
93,12267,1022,2000-12-20,2000-01-04,2759,16
94,1134,1023,2000-01-14,2000-01-04,116,17
95,11216,1023,2000-11-17,2000-01-04,2446,17
96,106149,1023,2001-06-14,2000-01-04,4048,17
97,111119,1023,2001-11-09,2000-01-04,5162,17
98,110079,1023,2001-10-05,2000-01-04,4898,17
99,106149,1024,2001-06-14,2000-01-04,4048,18
100,111119,1024,2001-11-09,2000-01-04,5162,18
101,2176,1024,2000-02-16,2000-01-04,377,18
102,4136,1024,2000-04-14,2000-01-04,834,18
103,7184,1024,2000-07-18,2000-01-04,1509,18
104,7253,1024,2000-07-24,2000-01-04,1564,18
105,9166,1024,2000-09-14,2000-01-04,1926,18
106,10242,1024,2000-10-20,2000-01-04,2211,18
107,12199,1024,2000-12-15,2000-01-04,2699,18
108,101113,1024,2001-01-11,2000-01-04,2862,18
109,103101,1024,2001-03-10,2000-01-04,3250,18
110,104031,1024,2001-04-03,2000-01-04,3416,18
111,104178,1024,2001-04-18,2000-01-04,3548,18
112,106059,1024,2001-06-05,2000-01-04,3970,18
113,112075,1024,2001-12-05,2000-01-04,5323,18
114,112155,1024,2001-12-11,2000-01-04,5387,18
115,112206,1024,2000-02-24,2000-01-04,452,18
116,2004,1025,2000-02-01,2000-01-04,208,19
117,3263,1025,2000-03-27,2000-01-04,684,19
118,5049,1025,2000-05-05,2000-01-04,930,19
119,6047,1025,2000-06-05,2000-01-04,1179,19
120,7243,1025,2000-07-21,2000-01-04,1556,19
121,9072,1025,2000-09-06,2000-01-04,1848,19
122,10222,1025,2000-10-19,2000-01-04,2196,19
123,11059,1025,2000-11-03,2000-01-04,2306,19
124,11257,1025,2000-11-21,2000-01-04,2484,19
125,12179,1025,2000-12-14,2000-01-04,2681,19
126,101135,1025,2001-01-12,2000-01-04,2882,19
127,102133,1025,2001-02-12,2000-01-04,3087,19
128,104200,1025,2001-04-20,2000-01-04,3566,19
129,104254,1025,2001-04-25,2000-01-04,3613,19
130,105174,1025,2001-05-17,2000-01-04,3780,19
131,1215,1027,2000-01-20,2000-01-04,186,20
132,2067,1027,2000-02-07,2000-01-04,268,20
133,2158,1027,2000-02-15,2000-01-04,360,20
134,2186,1027,2000-02-17,2000-01-04,385,20
135,3065,1027,2000-03-08,2000-01-04,514,20
136,3137,1027,2000-03-14,2000-01-04,572,20
137,3160,1027,2000-03-16,2000-01-04,593,20
138,4147,1027,2000-04-15,2000-01-04,842,20
139,3176,1027,2000-03-17,2000-01-04,606,20
140,3215,1027,2000-03-22,2000-01-04,638,20
141,4013,1027,2000-04-03,2000-01-04,730,20
142,4038,1027,2000-04-05,2000-01-04,751,20
143,4085,1027,2000-04-09,2000-01-04,790,20
144,4115,1027,2000-04-12,2000-01-04,816,20
145,4127,1027,2000-04-13,2000-01-04,827,20
146,4183,1027,2000-04-19,2000-01-04,873,20
147,5007,1027,2000-04-30,2000-01-04,898,20
148,6209,1027,2000-06-18,2000-01-04,1311,20
149,7055,1027,2000-07-06,2000-01-04,1402,20
150,8019,1027,2000-08-02,2000-01-04,1584,20
151,8042,1027,2000-08-04,2000-01-04,1605,20
152,8090,1027,2000-08-09,2000-01-04,1649,20
153,8205,1027,2000-08-18,2000-01-04,1747,20
154,10072,1027,2000-10-08,2000-01-04,2067,20
155,11003,1027,2000-11-01,2000-01-04,2256,20
156,11038,1027,2000-11-02,2000-01-04,2287,20
157,12145,1027,2000-12-13,2000-01-04,2648,20
158,101102,1027,2001-01-10,2000-01-04,2853,20
159,102022,1027,2001-02-02,2000-01-04,2991,20
160,102168,1027,2001-02-14,2000-01-04,3117,20
161,104106,1027,2001-04-11,2000-01-04,3484,20
162,105089,1027,2001-05-10,2000-01-04,3702,20
163,105094,1027,2001-05-10,2000-01-04,3707,20
164,107115,1027,2001-07-10,2000-01-04,4281,20
165,109162,1027,2001-09-18,2000-01-04,4781,20
166,110093,1027,2001-10-05,2000-01-04,4911,20
167,111145,1027,2001-11-12,2000-01-04,5179,20
168,112127,1027,2000-02-06,2000-01-04,266,20
169,201129,1027,2002-01-14,2000-01-04,5582,20
170,201218,1027,2002-01-23,2000-01-04,5659,20
171,2078,1028,2000-02-07,2000-01-04,278,21
172,1083,1029,2000-01-11,2000-01-04,70,22
173,103080,1029,2001-03-07,2000-01-04,3229,22
174,103170,1029,2001-03-15,2000-01-04,3308,22
175,108135,1029,2001-08-16,2000-01-04,4544,22
176,109092,1029,2001-09-11,2000-01-04,4716,22
177,202206,1029,2002-02-21,2000-01-04,5897,22
178,112227,111007,2001-12-17,2000-01-04,5445,23
179,106149,1031,2001-06-14,2000-01-05,4048,24
180,2183,1031,2000-02-17,2000-01-05,382,24
181,8105,1031,2000-08-11,2000-01-05,1663,24
182,2138,1032,2000-02-14,2000-01-05,338,25
183,104031,1032,2001-04-03,2000-01-05,3416,25
184,107115,1032,2001-07-10,2000-01-05,4281,25
185,109162,1032,2001-09-18,2000-01-05,4781,25
186,1203,1032,2000-01-19,2000-01-05,174,25
187,1218,1032,2000-01-20,2000-01-05,189,25
188,2101,1032,2000-02-09,2000-01-05,300,25
189,4002,1032,2000-04-01,2000-01-05,721,25
190,5005,1032,2000-04-30,2000-01-05,896,25
191,5095,1032,2000-05-10,2000-01-05,969,25
192,6018,1032,2000-06-01,2000-01-05,1153,25
193,6246,1032,2000-06-21,2000-01-05,1347,25
194,7160,1032,2000-07-17,2000-01-05,1493,25
195,8027,1032,2000-08-03,2000-01-05,1590,25
196,9163,1032,2000-09-14,2000-01-05,1923,25
197,9230,1032,2000-09-20,2000-01-05,1985,25
198,10204,1032,2000-10-18,2000-01-05,2181,25
199,11221,1032,2000-11-17,2000-01-05,2451,25
200,12225,1032,2000-12-18,2000-01-05,2721,25
201,101039,1032,2001-01-04,2000-01-05,2797,25
202,101177,1032,2001-01-16,2000-01-05,2918,25
203,102129,1032,2001-02-10,2000-01-05,3084,25
204,103120,1032,2001-03-12,2000-01-05,3267,25
205,104036,1032,2001-04-03,2000-01-05,3421,25
206,104045,1032,2001-04-04,2000-01-05,3430,25
207,104133,1032,2001-04-13,2000-01-05,3507,25
208,105192,1032,2001-05-18,2000-01-05,3797,25
209,105311,1032,2001-05-29,2000-01-05,3906,25
210,106110,1032,2001-06-11,2000-01-05,4013,25
211,107225,1032,2001-07-20,2000-01-05,4384,25
212,111038,1032,2001-11-05,2000-01-05,5108,25
213,2130,1033,2000-02-11,2000-01-05,329,26
214,2132,1033,2000-02-11,2000-01-05,331,26
215,8151,1033,2000-08-15,2000-01-05,1705,26
216,7063,1033,2000-07-07,2000-01-05,1408,26
217,11144,1033,2000-11-10,2000-01-05,2382,26
218,104226,1033,2001-04-23,2000-01-05,3589,26
219,105320,1033,2001-05-30,2000-01-05,3914,26
220,5230,1033,2000-05-23,2000-01-05,1088,26
221,112227,1033,2001-12-17,2000-01-05,5445,26
222,1071,1033,2000-01-10,2000-01-05,61,26
223,1107,1033,2000-01-13,2000-01-05,94,26
224,1192,1033,2000-01-19,2000-01-05,165,26
225,1206,1033,2000-01-19,2000-01-05,177,26
226,1209,1033,2000-01-20,2000-01-05,181,26
227,2076,1033,2000-02-07,2000-01-05,276,26
228,2040,1033,2000-02-03,2000-01-05,241,26
229,2054,1033,2000-02-04,2000-01-05,255,26
230,2147,1033,2000-02-14,2000-01-05,347,26
231,2161,1033,2000-02-15,2000-01-05,363,26
232,3020,1033,2000-03-03,2000-01-05,475,26
233,3076,1033,2000-03-09,2000-01-05,524,26
234,3148,1033,2000-03-15,2000-01-05,583,26
235,3248,1033,2000-03-24,2000-01-05,670,26
236,4125,1033,2000-04-13,2000-01-05,825,26
237,6044,1033,2000-06-05,2000-01-05,1176,26
238,8087,1033,2000-08-09,2000-01-05,1646,26
239,8190,1033,2000-08-17,2000-01-05,1733,26
240,8245,1033,2000-08-23,2000-01-05,1780,26
241,3262,1033,2000-03-27,2000-01-05,683,26
242,3299,1033,2000-03-30,2000-01-05,718,26
243,4005,1033,2000-04-01,2000-01-05,724,26
244,4014,1033,2000-04-03,2000-01-05,731,26
245,4022,1033,2000-04-04,2000-01-05,739,26
246,4056,1033,2000-04-06,2000-01-05,762,26
247,4103,1033,2000-04-11,2000-01-05,806,26
248,4124,1033,2000-04-13,2000-01-05,824,26
249,4133,1033,2000-04-14,2000-01-05,831,26
250,4166,1033,2000-04-17,2000-01-05,860,26
251,4188,1033,2000-04-19,2000-01-05,878,26
252,5014,1033,2000-05-02,2000-01-05,904,26
253,5066,1033,2000-05-08,2000-01-05,944,26
254,5162,1033,2000-05-17,2000-01-05,1027,26
255,5167,1033,2000-05-17,2000-01-05,1032,26
256,5281,1033,2000-05-28,2000-01-05,1130,26
257,6191,1033,2000-06-16,2000-01-05,1297,26
258,6203,1033,2000-06-17,2000-01-05,1307,26
259,6251,1033,2000-06-21,2000-01-05,1352,26
260,7197,1033,2000-07-18,2000-01-05,1517,26
261,7209,1033,2000-07-19,2000-01-05,1528,26
262,7252,1033,2000-07-24,2000-01-05,1563,26
263,8012,1033,2000-08-01,2000-01-05,1578,26
264,8134,1033,2000-08-14,2000-01-05,1688,26
265,9117,1033,2000-09-11,2000-01-05,1880,26
266,10202,1033,2000-10-18,2000-01-05,2179,26
267,10215,1033,2000-10-19,2000-01-05,2190,26
268,11102,1033,2000-11-08,2000-01-05,2343,26
269,11156,1033,2000-11-12,2000-01-05,2394,26
270,11160,1033,2000-11-13,2000-01-05,2398,26
271,11254,1033,2000-11-20,2000-01-05,2481,26
272,12143,1033,2000-12-13,2000-01-05,2646,26
273,12165,1033,2000-12-14,2000-01-05,2667,26
274,12221,1033,2000-12-18,2000-01-05,2717,26
275,101094,1033,2001-01-10,2000-01-05,2846,26
276,103207,1033,2001-03-19,2000-01-05,3342,26
277,103240,1033,2001-03-22,2000-01-05,3369,26
278,104057,1033,2001-04-05,2000-01-05,3441,26
279,104227,1033,2001-04-23,2000-01-05,3590,26
280,106100,1033,2001-06-11,2000-01-05,4008,26
281,105091,1033,2001-05-10,2000-01-05,3704,26
282,106019,1033,2001-06-01,2000-01-05,3932,26
283,106233,1033,2001-06-21,2000-01-05,4123,26
284,106263,1033,2001-06-24,2000-01-05,4150,26
285,107011,1033,2001-07-02,2000-01-05,4184,26
286,107025,1033,2001-07-03,2000-01-05,4197,26
287,107086,1033,2001-07-09,2000-01-05,4254,26
288,108193,1033,2001-08-23,2000-01-05,4593,26
289,110273,1033,2001-10-22,2000-01-05,5068,26
290,111089,1033,2001-11-08,2000-01-05,5138,26
291,110298,1033,2001-10-23,2000-01-05,5089,26
292,111207,1033,2001-11-16,2000-01-05,5224,26
293,111268,1033,2001-11-21,2000-01-05,5274,26
294,112079,1033,2001-12-05,2000-01-05,5325,26
295,112224,1033,2001-12-17,2000-01-05,5443,26
296,201012,1033,2002-01-03,2000-01-05,5483,26
297,201051,1033,2002-01-08,2000-01-05,5518,26
298,201130,1033,2002-01-14,2000-01-05,5583,26
299,201191,1033,2002-01-21,2000-01-05,5636,26
300,202166,1033,2002-02-16,2000-01-05,5856,26
301,202174,1033,2002-02-18,2000-01-05,5866,26
302,203032,1033,2002-03-04,2000-01-05,5930,26
303,104031,1035,2001-04-03,2000-01-05,3416,28
304,112155,1035,2001-12-11,2000-01-05,5387,28
305,2008,1035,2000-02-01,2000-01-05,211,28
306,2189,1035,2000-02-17,2000-01-05,388,28
307,2216,1035,2000-02-21,2000-01-05,413,28
308,4171,1035,2000-04-18,2000-01-05,862,28
309,5111,1035,2000-05-11,2000-01-05,983,28
310,6003,1035,2000-06-01,2000-01-05,1138,28
311,8127,1035,2000-08-14,2000-01-05,1681,28
312,8145,1035,2000-08-14,2000-01-05,1698,28
313,9139,1035,2000-09-12,2000-01-05,1900,28
314,9168,1035,2000-09-14,2000-01-05,1928,28
315,9239,1035,2000-09-20,2000-01-05,1993,28
316,10219,1035,2000-10-19,2000-01-05,2193,28
317,11078,1035,2000-11-06,2000-01-05,2321,28
318,101022,1035,2001-01-02,2000-01-05,2781,28
319,101048,1035,2001-01-05,2000-01-05,2806,28
320,101090,1035,2001-01-10,2000-01-05,2842,28
321,104235,1035,2001-04-23,2000-01-05,3597,28
322,104247,1035,2001-04-24,2000-01-05,3608,28
323,105050,1035,2001-05-07,2000-01-05,3670,28
324,105149,1035,2001-05-15,2000-01-05,3760,28
325,109051,1035,2001-09-06,2000-01-05,4681,28
326,109100,1035,2001-09-12,2000-01-05,4723,28
327,110168,1035,2001-10-12,2000-01-05,4974,28
328,112160,1035,2001-12-11,2000-01-05,5392,28
329,112162,1035,2001-12-12,2000-01-05,5393,28
330,201027,1035,2002-01-05,2000-01-05,5495,28
331,201151,1035,2002-01-17,2000-01-05,5602,28
332,201209,1035,2002-01-22,2000-01-05,5653,28
333,202123,1035,2002-02-13,2000-01-05,5818,28
334,203024,1035,2002-03-04,2000-01-05,5923,28
335,4087,1036,2000-04-10,2000-01-05,792,29
336,5076,1036,2000-05-09,2000-01-05,952,29
337,6086,1036,2000-06-09,2000-01-05,1211,29
338,9149,1036,2000-09-13,2000-01-05,1909,29
339,9206,1036,2000-09-18,2000-01-05,1962,29
340,12122,1036,2000-12-11,2000-01-05,2626,29
341,106175,1036,2001-06-15,2000-01-05,4071,29
342,107072,1036,2001-07-06,2000-01-05,4241,29
343,3263,1037,2000-03-27,2000-01-05,684,30
344,12179,1037,2000-12-14,2000-01-05,2681,30
345,105174,1037,2001-05-17,2000-01-05,3780,30
346,1132,1037,2000-01-14,2000-01-05,114,30
347,3110,1037,2000-03-12,2000-01-05,546,30
348,3166,1037,2000-03-16,2000-01-05,597,30
349,3187,1037,2000-03-20,2000-01-05,614,30
350,3242,1037,2000-03-24,2000-01-05,664,30
351,3298,1037,2000-03-30,2000-01-05,717,30
352,5247,1037,2000-05-24,2000-01-05,1102,30
353,6100,1037,2000-06-10,2000-01-05,1223,30
354,6224,1037,2000-06-19,2000-01-05,1326,30
355,6247,1037,2000-06-21,2000-01-05,1348,30
356,7069,1037,2000-07-07,2000-01-05,1414,30
357,7075,1037,2000-07-09,2000-01-05,1421,30
358,7145,1037,2000-07-13,2000-01-05,1477,30
359,8194,1037,2000-08-18,2000-01-05,1737,30
360,8230,1037,2000-08-22,2000-01-05,1769,30
361,9112,1037,2000-09-10,2000-01-05,1876,30
362,10002,1037,2000-09-30,2000-01-05,2008,30
363,10196,1037,2000-10-18,2000-01-05,2174,30
364,11101,1037,2000-11-08,2000-01-05,2342,30
365,11107,1037,2000-11-08,2000-01-05,2348,30
366,11148,1037,2000-11-10,2000-01-05,2386,30
367,103142,1037,2001-03-13,2000-01-05,3282,30
368,104126,1037,2001-04-12,2000-01-05,3500,30
369,105176,1037,2001-05-17,2000-01-05,3782,30
370,109013,1037,2001-09-03,2000-01-05,4646,30
371,110069,1037,2001-10-04,2000-01-05,4889,30
372,12062,1038,2000-12-06,2000-01-05,2573,31
373,107019,1039,2001-07-03,2000-01-05,4191,32
374,107021,1039,2001-07-03,2000-01-05,4193,32
375,110051,1039,2001-10-03,2000-01-05,4873,32
376,203033,1039,2002-03-05,2000-01-05,5931,32
377,1069,1040,2000-01-10,2000-01-05,59,33
378,2125,1041,2000-02-11,2000-01-05,324,34
379,3017,1041,2000-03-02,2000-01-05,472,34
380,3230,1041,2000-03-23,2000-01-05,653,34
381,4049,1041,2000-04-06,2000-01-05,758,34
382,5072,1041,2000-05-09,2000-01-05,948,34
383,5115,1041,2000-05-11,2000-01-05,987,34
384,5256,1041,2000-05-25,2000-01-05,1110,34
385,6037,1041,2000-06-03,2000-01-05,1169,34
386,8211,1041,2000-08-18,2000-01-05,1752,34
387,6103,1041,2000-06-10,2000-01-05,1226,34
388,6231,1041,2000-06-20,2000-01-05,1333,34
389,7222,1041,2000-07-20,2000-01-05,1538,34
390,8048,1041,2000-08-04,2000-01-05,1611,34
391,9015,1041,2000-09-02,2000-01-05,1798,34
392,11182,1041,2000-11-14,2000-01-05,2416,34
393,10118,1041,2000-10-11,2000-01-05,2107,34
394,11092,1041,2000-11-07,2000-01-05,2333,34
395,11115,1041,2000-11-08,2000-01-05,2356,34
396,12053,1041,2000-12-05,2000-01-05,2564,34
397,103073,1041,2001-03-07,2000-01-05,3222,34
398,103082,1041,2001-03-08,2000-01-05,3231,34
399,104234,1041,2001-04-23,2000-01-05,3596,34
400,106191,1041,2001-06-18,2000-01-05,4087,34
401,108172,1041,2001-08-22,2000-01-05,4575,34
402,201145,1041,2002-01-16,2000-01-05,5598,34
403,201210,1041,2002-01-22,2000-01-05,5654,34
404,12012,1042,2000-12-01,2000-01-05,2526,35
405,5114,1044,2000-05-11,2000-01-05,986,36
406,9214,1044,2000-09-18,2000-01-05,1970,36
407,103021,1044,2001-03-01,2000-01-05,3174,36
408,3095,1046,2000-03-10,2000-01-06,535,37
409,11014,1046,2000-11-01,2000-01-06,2267,37
410,102087,1046,2001-02-07,2000-01-06,3047,37
411,103092,1046,2001-03-09,2000-01-06,3241,37
412,103109,1046,2001-03-10,2000-01-06,3257,37
413,4062,1047,2000-04-07,2000-01-06,768,38
414,10166,1047,2000-10-16,2000-01-06,2147,38
415,11013,1047,2000-11-01,2000-01-06,2266,38
416,202059,1048,2002-02-07,2000-01-06,5759,39
417,3022,1049,2000-03-03,2000-01-06,476,40
418,3033,1049,2000-03-04,2000-01-06,485,40
419,5153,1049,2000-05-16,2000-01-06,1018,40
420,7097,1049,2000-07-11,2000-01-06,1436,40
421,12169,1049,2000-12-14,2000-01-06,2671,40
422,12167,1049,2000-12-14,2000-01-06,2669,40
423,107081,1049,2001-07-09,2000-01-06,4249,40
424,108178,1049,2001-08-22,2000-01-06,4579,40
425,7220,1050,2000-07-20,2000-01-06,1536,41
426,8104,1050,2000-08-10,2000-01-06,1662,41
427,102106,1050,2001-02-08,2000-01-06,3065,41
428,201122,1050,2002-01-14,2000-01-06,5577,41
429,102038,1051,2001-02-05,2000-01-06,3005,42
430,103084,1051,2001-03-08,2000-01-06,3233,42
431,106005,1053,2001-06-01,2000-01-07,3920,43
432,109150,1053,2001-09-17,2000-01-07,4769,43
433,112188,1053,2001-12-13,2000-01-07,5415,43
434,112198,1053,2001-12-14,2000-01-07,5424,43
435,2216,1053,2000-02-21,2000-01-07,413,43
436,201209,1053,2002-01-22,2000-01-07,5653,43
437,3187,1053,2000-03-20,2000-01-07,614,43
438,1063,1053,2000-01-10,2000-01-07,53,43
439,1180,1053,2000-01-18,2000-01-07,155,43
440,2104,1053,2000-02-09,2000-01-07,303,43
441,3036,1053,2000-03-05,2000-01-07,487,43
442,5065,1053,2000-05-08,2000-01-07,943,43
443,5152,1053,2000-05-16,2000-01-07,1017,43
444,6070,1053,2000-06-08,2000-01-07,1199,43
445,5169,1053,2000-05-17,2000-01-07,1034,43
446,5183,1053,2000-05-18,2000-01-07,1046,43
447,5187,1053,2000-05-18,2000-01-07,1049,43
448,7007,1053,2000-07-03,2000-01-07,1356,43
449,8006,1053,2000-08-01,2000-01-07,1572,43
450,8015,1053,2000-08-02,2000-01-07,1581,43
451,8016,1053,2000-08-02,2000-01-07,1582,43
452,8241,1053,2000-08-23,2000-01-07,1778,43
453,8253,1053,2000-08-24,2000-01-07,1786,43
454,9096,1053,2000-09-08,2000-01-07,1862,43
455,9107,1053,2000-09-10,2000-01-07,1872,43
456,9242,1053,2000-09-20,2000-01-07,1996,43
457,11046,1053,2000-11-03,2000-01-07,2294,43
458,12093,1053,2000-12-08,2000-01-07,2600,43
459,12117,1053,2000-12-11,2000-01-07,2621,43
460,12183,1053,2000-12-14,2000-01-07,2685,43
461,12234,1053,2000-12-18,2000-01-07,2729,43
462,102176,1053,2001-02-14,2000-01-07,3124,43
463,103044,1053,2001-03-04,2000-01-07,3195,43
464,103154,1053,2001-03-14,2000-01-07,3293,43
465,103220,1053,2001-03-20,2000-01-07,3353,43
466,104202,1053,2001-04-20,2000-01-07,3568,43
467,105217,1053,2001-05-22,2000-01-07,3822,43
468,105248,1053,2001-05-23,2000-01-07,3850,43
469,105252,1053,2001-05-23,2000-01-07,3854,43
470,105283,1053,2001-05-27,2000-01-07,3882,43
471,106004,1053,2001-06-01,2000-01-07,3919,43
472,106129,1053,2001-06-13,2000-01-07,4030,43
473,106171,1053,2001-06-15,2000-01-07,4067,43
474,106234,1053,2001-06-21,2000-01-07,4124,43
475,107035,1053,2001-07-04,2000-01-07,4205,43
476,107131,1053,2001-07-11,2000-01-07,4297,43
477,107180,1053,2001-07-16,2000-01-07,4343,43
478,107189,1053,2001-07-17,2000-01-07,4352,43
479,108001,1053,2001-08-01,2000-01-07,4425,43
480,108121,1053,2001-08-15,2000-01-07,4530,43
481,109200,1053,2001-09-21,2000-01-07,4811,43
482,110235,1053,2001-10-17,2000-01-07,5034,43
483,110252,1053,2001-10-18,2000-01-07,5049,43
484,111180,1053,2001-11-14,2000-01-07,5203,43
485,201070,1053,2002-01-10,2000-01-07,5534,43
486,202021,1053,2002-02-04,2000-01-07,5727,43
487,202129,1053,2002-02-14,2000-01-07,5824,43
488,202157,1053,2002-02-15,2000-01-07,5850,43
489,202179,1053,2002-02-19,2000-01-07,5871,43
490,202187,1053,2002-02-19,2000-01-07,5879,43
491,203021,1053,2002-03-04,2000-01-07,5920,43
492,203031,1053,2002-03-04,2000-01-07,5929,43
493,203048,1053,2002-03-05,2000-01-07,5944,43
494,11148,1054,2000-11-10,2000-01-07,2386,44
495,2100,1054,2000-02-09,2000-01-07,299,44
496,3053,1054,2000-03-07,2000-01-07,503,44
497,5047,1054,2000-05-05,2000-01-07,928,44
498,103033,1054,2001-03-02,2000-01-07,3185,44
499,201076,1054,2002-01-10,2000-01-07,5539,44
500,8230,1055,2000-08-22,2000-01-07,1769,45
501,103220,1055,2001-03-20,2000-01-07,3353,45
502,1200,1055,2000-01-19,2000-01-07,171,45
503,2103,1055,2000-02-09,2000-01-07,302,45
504,5067,1055,2000-05-08,2000-01-07,945,45
505,5087,1055,2000-05-10,2000-01-07,961,45
506,6168,1055,2000-06-15,2000-01-07,1278,45
507,8091,1055,2000-08-09,2000-01-07,1650,45
508,8173,1055,2000-08-16,2000-01-07,1722,45
509,9209,1055,2000-09-18,2000-01-07,1965,45
510,10023,1055,2000-10-03,2000-01-07,2027,45
511,11192,1055,2000-11-15,2000-01-07,2426,45
512,12050,1055,2000-12-05,2000-01-07,2561,45
513,101143,1055,2001-01-14,2000-01-07,2889,45
514,103117,1055,2001-03-12,2000-01-07,3265,45
515,105229,1055,2001-05-22,2000-01-07,3833,45
516,109170,1055,2001-09-19,2000-01-07,4786,45
517,110184,1055,2001-10-15,2000-01-07,4989,45
518,111079,1055,2001-11-07,2000-01-07,5129,45
519,201093,1055,2002-01-11,2000-01-07,5551,45
520,202104,1055,2002-02-12,2000-01-07,5802,45
